species,TL_(mm),WT_(mg),log_Ws,Ws,Wr
BG,57,2586,0.46702392,2931.054674,88.22762751
BG,56,2600,0.442636226,2770.998086,93.82900744
BG,59,3353,0.514541343,3269.951741,102.5397396
BG,57,3000,0.46702392,2931.054674,102.3522361
BG,64,3934,0.626624956,4232.772786,92.9414405
BG,65,4577,0.64798769,4446.186647,102.9421471
BG,62,3553,0.582879418,3827.184663,92.83586534
BG,64,4160,0.626624956,4232.772786,98.28073017
BG,79,7500,0.916755567,8255.731641,90.84597617
BG,71,5178,0.769643313,5883.602349,88.00730731
BG,106,18704,1.321836906,20981.51803,89.14512275
BG,70,5600,0.750098748,5624.69202,99.56100672
BG,64,3900,0.626624956,4232.772786,92.13818453
BG,52,2400,0.340525168,2190.408763,109.5685902
BG,68,3800,0.710157727,5130.476787,74.0671902
BG,86,10600,1.033735856,10807.76409,98.07764043
BG,54,2400,0.392526386,2469.030109,97.20416091
BG,62,3900,0.582879418,3827.184663,101.9025823
BG,58,2800,0.490987458,3097.32985,90.40044603
BG,55,2900,0.41780909,2617.032346,110.8125394
BG,57,3100,0.46702392,2931.054674,105.7639773
BG,62,4000,0.582879418,3827.184663,104.515469
BG,62,3800,0.582879418,3827.184663,99.28969555
BG,58,3400,0.490987458,3097.32985,109.7719702
BG,66,4900,0.669024263,4666.854517,104.9957735
BG,62,4100,0.582879418,3827.184663,107.1283557
BG,57,3190,0.46702392,2931.054674,108.8345444
BG,65,3622,0.64798769,4446.186647,81.46306683
BG,66,4000,0.669024263,4666.854517,85.71083554
BG,67,4300,0.689744484,4894.907435,87.84640071
BG,69,4700,0.730272956,5373.694296,87.46310715
BG,67,4600,0.689744484,4894.907435,93.97521936
BG,59,3370,0.514541343,3269.951741,103.0596249
BG,67,3430,0.689744484,4894.907435,70.07282661
BG,75,7500,0.845161868,7001.02886,107.1271116
BG,76,7600,0.863412052,7301.499363,104.0882101
BG,56,2800,0.442636226,2770.998086,101.0466234
BG,95,14700,1.170874574,14820.89988,99.18426085
BG,70,6300,0.750098748,5624.69202,112.0061326
BG,67,5100,0.689744484,4894.907435,104.1899171
BG,67,4900,0.689744484,4894.907435,100.104038
BG,62,3900,0.582879418,3827.184663,101.9025823
BG,70,5000,0.750098748,5624.69202,88.893756
BG,101,18700,1.25526025,17999.49207,103.8918206
BG,60,3900,0.537699346,3449.048855,113.0746523
BG,87,13500,1.049665152,11211.53694,120.4116802
BG,60,4000,0.537699346,3449.048855,115.9740024
BG,63,3700,0.604925788,4026.482238,91.89162602
BG,54,2200,0.392526386,2469.030109,89.10381417
BG,57,3200,0.46702392,2931.054674,109.1757185
BG,69,4600,0.730272956,5373.694296,85.60218998
BG,61,3700,0.560474554,3634.750076,101.7951695
BG,67,4500,0.689744484,4894.907435,91.93227981
BG,66,4600,0.669024263,4666.854517,98.56746087
BG,73,7800,0.807919905,6425.692008,121.3877041
BG,49,1900,0.258647495,1814.042657,104.7384411
BG,121,3070,1.504199833,31930.06723,9.614762092
BG,121,30700,1.504199833,31930.06723,96.14762092
BG,66,4486,0.669024263,4666.854517,96.12470206
BG,61,3858,0.560474554,3634.750076,106.1420983
BG,55,2754,0.41780909,2617.032346,105.2337012
BG,67,4864,0.689744484,4894.907435,99.36857978
BG,57,2977,0.46702392,2931.054674,101.5675356
BG,67,5051,0.689744484,4894.907435,103.1888767
BG,66,5083,0.669024263,4666.854517,108.9170443
BG,76,6608,0.863412052,7301.499363,90.50195954
BG,70,5300,0.750098748,5624.69202,94.22738136
BG,55,2700,0.41780909,2617.032346,103.1702953
BG,61,3900,0.560474554,3634.750076,107.2976111
BG,52,2500,0.340525168,2190.408763,114.1339481
BG,64,4500,0.626624956,4232.772786,106.3132898
BG,59,3200,0.514541343,3269.951741,97.86077146
BG,67,5000,0.689744484,4894.907435,102.1469776
BG,59,3300,0.514541343,3269.951741,100.9189206
BG,62,4100,0.582879418,3827.184663,107.1283557
BG,56,2900,0.442636226,2770.998086,104.6554314
BG,63,4100,0.604925788,4026.482238,101.8258559
BG,64,3900,0.626624956,4232.772786,92.13818453
BG,60,3600,0.537699346,3449.048855,104.3766021
BG,58,3600,0.490987458,3097.32985,116.2291449
BG,71,5701,0.769643313,5883.602349,96.89641927
BG,56,4027,0.442636226,2770.998086,145.3266973
BG,73,7300,0.807919905,6425.692008,113.606441
BG,65,3900,0.64798769,4446.186647,87.71561586
BG,59,2800,0.514541343,3269.951741,85.62817502
BG,66,4300,0.669024263,4666.854517,92.13914821
BG,64,3700,0.626624956,4232.772786,87.41314943
BG,103,15800,1.282278149,19154.82327,82.48575191
BG,63,3620,0.604925788,4026.482238,89.90478005
BG,58,3000,0.490987458,3097.32985,96.85762075
BG,61,3300,0.560474554,3634.750076,90.79028628
BG,64,3600,0.626624956,4232.772786,85.05063188
BG,65,4700,0.64798769,4446.186647,105.7085627
BG,74,6200,0.826666708,6709.137737,92.41127911
BG,58,2900,0.490987458,3097.32985,93.62903339
BG,58,3100,0.490987458,3097.32985,100.0862081
BG,63,4200,0.604925788,4026.482238,104.3094133
BG,50,1900,0.286484174,1934.123376,98.23571874
BG,59,3200,0.514541343,3269.951741,97.86077146
BG,80,7200,0.934087478,8591.865665,83.80019289
BG,65,1160,0.64798769,4446.186647,26.08977292
BG,65,1500,0.64798769,4446.186647,33.73677533
BG,55,1400,0.41780909,2617.032346,53.49570869
H,59,3730,0.514541343,3269.951741,114.0689617
H,65,4500,0.64798769,4446.186647,101.210326
H,62,4200,0.582879418,3827.184663,109.7412424
H,88,11900,1.065412395,11625.52019,102.361011
H,68,7100,0.710157727,5130.476787,138.3886975
H,62,4200,0.582879418,3827.184663,109.7412424
H,63,4177,0.604925788,4026.482238,103.7381951
H,57,3678,0.46702392,2931.054674,125.4838414
H,62,3585,0.582879418,3827.184663,93.67198909
