site_id,seeds_present,max_width,max_length,notch_depth,petiole_length
12669,NA,84,108,0,52
12669,NA,68,100,0,55
12669,NA,89,97,11,55
12669,NA,59,96,0,62
12669,NA,74,97,0,45
12669,NA,70,97,0,45
12669,NA,71,104,0,55
12669,NA,69,93,0,48
12669,NA,85,94,5,47
12669,NA,74,87,0,41
12669,NA,70,69,0,26
12669,NA,78,102,0,50
12669,NA,87,70,0,70
12669,NA,69,97,0,53
12669,NA,60,98,0,55
12669,NA,72,103,0,53
12669,NA,59,95,0,52
12669,NA,72,78,5,32
12669,NA,75,94,0,47
12669,NA,81,96,0,43
12669,NA,74,89,3,47
12669,NA,82,104,0,53
12669,NA,74,107,0,59
12669,NA,72,75,0,34
12669,NA,79,105,0,55
12669,NA,84,82,0,33
12669,NA,75,89,0,40
12669,NA,72,106,0,59
12669,NA,88,115,0,64
12669,NA,80,87,0,38
12669,NA,69,125,7,69
